"name","degree","indegree","outdegree","betweenness","evcent","closeness","strength","in_strength","out_strength","hub_score","auth_score","page_rank"
"Pichilemu",5,5,5,0.0623004446533858,0.779702336640755,0.336633663366337,5,5,5,0.743285770389811,0.743285770389811,0.0341036429611522
"Topocalma",3,3,3,0.0005941770647653,0.379387915576977,0.265625,3,3,3,0.354810608008745,0.354810608008745,0.0222480943393858
"Puertecillo",5,5,5,0.0169977081741788,0.6297296100471,0.278688524590164,5,5,5,0.591733388128838,0.591733388128838,0.0344772589457822
"Matanzas",3,3,3,0.0005941770647653,0.379387915576977,0.265625,3,3,3,0.354810608008745,0.354810608008745,0.0222480943393858
"Boca de Rapel",5,5,5,0.0623004446533858,0.779702336640755,0.336633663366337,5,5,5,0.743285770389811,0.743285770389811,0.0341036429611522
"Cartagena",4,4,4,0.0492765404530111,0.651004301030436,0.350515463917526,4,4,4,0.622011294992607,0.622011294992607,0.0281837769143101
"Las Cruces",4,4,4,0.0225787284610814,0.28102552059587,0.303571428571429,4,4,4,0.263479854541671,0.263479854541671,0.0318702307246345
"El Quisco",2,2,2,0,0.176733792805052,0.272,2,2,2,0.164613310833804,0.164613310833804,0.0172395183007455
"Algarrobo",5,5,5,0.439381207028266,0.618391430216202,0.414634146341463,5,5,5,0.591621051632701,0.591621051632701,0.0370824713529499
"Quintay",4,4,4,0.0461087931676167,0.568952235830966,0.343434343434343,4,4,4,0.548440779667667,0.548440779667667,0.0295745644747571
"Laguna Verde",2,2,2,0.00291571173924115,0.242852859517389,0.274193548387097,2,2,2,0.241344634442589,0.241344634442589,0.0170633448970117
"El Membrillo",3,3,3,0.0100713012477718,0.307887432514391,0.326923076923077,3,3,3,0.288834950905837,0.288834950905837,0.023543538430747
"Montemar",2,2,2,0.0249554367201426,0.0396807877445426,0.261538461538462,2,2,2,0.0368788268289284,0.0368788268289284,0.0217925175938818
"Higuerillas",3,3,3,0.0320855614973262,0.0500154748207312,0.26984126984127,3,3,3,0.0463666054904928,0.0463666054904928,0.0303939820813809
"Papagallo",5,5,5,0.39126559714795,0.168071989599186,0.343434343434343,5,5,5,0.1581611134722,0.1581611134722,0.0475832896316341
"Embarcadero",2,2,2,0.00089126559714795,0.0190235354646606,0.21656050955414,2,2,2,0.0174788981945216,0.0174788981945216,0.0221591625195053
"El Manzano",1,1,1,0,0.0356461168315618,0.257575757575758,1,1,1,0.0332088130686279,0.0332088130686279,0.0123748735230921
"Ventanas",3,3,3,0.165775401069519,0.0487282086569961,0.274193548387097,3,3,3,0.045186729028518,0.045186729028518,0.0303581099558789
"Horcón",2,2,2,0,0.00314044177080061,0.183783783783784,2,2,2,0.00283836783946006,0.00283836783946006,0.0237518651514954
"Maitencillo",3,3,3,0.114081996434938,0.0116667895226656,0.222222222222222,3,3,3,0.0106797129484609,0.0106797129484609,0.0330762641519844
"Zapallar",2,2,2,0,0.00314044177080062,0.183783783783784,2,2,2,0.00283836783946006,0.00283836783946006,0.0237518651514954
"Papudo",6,6,6,0.0954516072163131,0.55227703313012,0.350515463917526,6,6,6,0.52051156604949,0.52051156604949,0.0436332704897392
"Pichicuy",1,1,1,0,0.0446800890832859,0.242857142857143,1,1,1,0.0418596708725803,0.0418596708725803,0.0130329515110376
"Los Molles",3,3,3,0.0733511586452763,0.0775656032586386,0.274193548387097,3,3,3,0.0743215936189202,0.0743215936189202,0.0326782744012124
"Pichidangui",2,2,2,0.0149732620320856,0.0611308526070694,0.261538461538462,2,2,2,0.0574648462236446,0.0574648462236446,0.0222917959247144
"Totoralillo Sur",1,1,1,0,0.0164507635237834,0.21656050955414,1,1,1,0.0156051753510643,0.0156051753510643,0.0135445586993911
"Cascabeles",3,3,3,0.105614973262032,0.210667307835554,0.317757009345794,3,3,3,0.199361902549945,0.199361902549945,0.0308726019717293
"Las Conchas",3,3,3,0.12756981580511,0.288141397282984,0.34,3,3,3,0.280895836148206,0.280895836148206,0.0261376657165129
"Los Vilos",2,2,2,0.0179144385026738,0.106868416011928,0.253731343283582,2,2,2,0.145237242388142,0.145237242388142,0.0196397640343703
"Chigualoco",2,2,2,0.0017825311942959,0.0508676055037915,0.213836477987421,2,2,2,0.0596194169856158,0.0596194169856158,0.0210081863950269
"Huentelauquen",5,5,5,0.0713903743315508,0.453018621130992,0.326923076923077,3,3,3,0.632091061382575,0.632091061382575,0.0377974737104094
"Sierra",5,5,5,0.129194661547603,0.576102735284405,0.343434343434343,5,5,5,0.600993138223278,0.600993138223278,0.0381943274141855
"Talca",2,2,2,0.039126559714795,0.132973126997293,0.263565891472868,2,2,2,0.138707665715675,0.138707665715675,0.0197072291640122
"Hornos",8,8,8,0.350071497130321,1,0.419753086419753,8,8,8,1,1,0.0547828987118774
"Chungungo",7,7,7,0.265787480493363,0.887488657778928,0.409638554216867,7,7,7,0.850161404790663,0.850161404790663,0.0496988934534192
